cc_num,total_spent,avg_transaction,transaction_count,spending_std,category_diversity,avg_city_pop,avg_age,fraud_rate,job,luxury,misc,necessity,wellbeing,age_group,city_group,cluster
60416207185,85043.47,56.02336627140975,1518,122.63263502820404,14,1645.0,33.17654808959157,0.005928853754940711,Information systems manager,0.23685628067622355,0.12009881534702192,0.4252909717818428,0.21775393219491157,25-34,Very Small (<20k),1
60422928733,105640.2,69.00078380143697,1531,102.68196160344647,14,46944.0,77.0731548007838,0.007838014369693011,Secondary school teacher,0.24294312203119645,0.18881637861344447,0.3152777067820772,0.25296279257328175,65+,Small (20k-50k),1
60423098130,58673.630000000005,115.04633333333334,510,1202.9880053384977,14,83.0,60.66274509803922,0.0196078431372549,Barrister's clerk,0.6209005647000194,0.08286397142975474,0.18877747976390757,0.1074579841063183,55-64,Very Small (<20k),2
60427851591,59129.61,111.98789772727272,528,143.31065325961396,14,2142.0,42.696969696969695,0.026515151515151516,Politician's assistant,0.5000095552803409,0.12475018861108673,0.21303117000095215,0.1622090861076202,35-44,Very Small (<20k),1
60487002085,25160.11,50.72602822580645,496,65.84396855676493,14,233060.0,46.653225806451616,0.0,"Horticulturist, commercial",0.14254031480784463,0.19782544670909624,0.37731631538971805,0.28231792309334097,45-54,Large (200k-500k),1
60490596305,73531.44,72.80340594059406,1010,127.35722781138632,14,222.0,55.88910891089109,0.009900990099009901,"Programmer, applications",0.26764551326616204,0.19188785096551897,0.37839936223199216,0.16206727353632677,55-64,Very Small (<20k),1
60495593109,29523.69,56.99554054054054,518,65.34697836494598,14,1263321.0,76.44594594594595,0.0,Television camera operator,0.17475254617563046,0.181559283409357,0.3484347654375181,0.2952534049774943,65+,Metro+ (500k+),1
501802953619,105725.56,67.81626683771648,1559,198.87612154999482,14,308.0,60.57087876844131,0.004490057729313663,Call centre manager,0.3169927877421505,0.1194689344752584,0.3799769894810678,0.1835612883015233,55-64,Very Small (<20k),1
501818133297,4946.54,618.3175,8,420.5975036183643,3,172247.0,78.0,1.0,Chief Marketing Officer,0.8075078741908486,0.0,0.19249212580915145,0.0,65+,Medium (50k-200k),2
501828204849,37041.66,71.92555339805826,515,143.46730835818778,14,602.0,60.44466019417476,0.015533980582524271,"Buyer, industrial",0.24271752399865446,0.1854069175085566,0.38892911386800694,0.18294644462478193,55-64,Very Small (<20k),1
501831082224,62874.97,61.28164717348928,1026,92.38898919463362,14,1762.0,56.93859649122807,0.007797270955165692,Armed forces logistics/support/administrative officer,0.20925687916829225,0.1595614280213573,0.4279741207033578,0.20320757210699264,55-64,Very Small (<20k),1
501851115094,6467.8099999999995,431.1873333333333,15,449.6235098147062,5,1439.0,19.0,1.0,"Pilot, airline",0.37895207187595176,0.3916225121022417,0.22942541602180647,0.0,<25,Very Small (<20k),2
501882822387,33222.23,65.656581027668,506,177.37327342950906,14,2799.0,58.27075098814229,0.0,"Therapist, horticultural",0.3180358452758891,0.1594402302313842,0.31444758524638466,0.20807633924634197,55-64,Very Small (<20k),1
501894933032,3741.75,534.5357142857143,7,404.64633013934287,3,1577385.0,70.0,1.0,Dancer,0.7606975345760674,0.0,0.2393024654239327,0.0,65+,Metro+ (500k+),2
501899453424,99202.86,65.26503947368421,1520,140.43346439337648,14,67082.0,49.286842105263155,0.005263157894736842,Ceramics designer,0.2571791781003088,0.17810534897885003,0.3227382758924491,0.24197719702839215,45-54,Medium (50k-200k),1
502012776709,127686.6,63.811394302848576,2001,112.33673740413211,14,165.0,73.55322338830585,0.0069965017491254375,Naval architect,0.2720825051336632,0.1403740094888579,0.38748592256352665,0.2000575628139523,65+,Very Small (<20k),0
502038091380,145935.23,92.71615628970775,1574,89.34510179866365,14,1201.0,39.099110546378654,0.005717916137229987,"Engineer, agricultural",0.4564493440000746,0.10932843289451083,0.2210726635371048,0.2131495595683099,35-44,Very Small (<20k),0
502049568400,71884.75,69.65576550387597,1032,257.13266177839944,14,370.0,57.195736434108525,0.0048449612403100775,Health service manager,0.30367261484529057,0.13637398752864827,0.3711208566490111,0.18883254097705007,55-64,Very Small (<20k),1
503848303379,99595.92,64.29691413815365,1549,142.96031852410178,14,3776.0,42.53776630083925,0.007746933505487412,Sport and exercise psychologist,0.3056801925219427,0.17795226953071974,0.26811419584256063,0.24825334210477698,35-44,Very Small (<20k),1
503874407318,156604.7,61.05446393762184,2565,131.8054502301393,14,1595797.0,43.34035087719298,0.0035087719298245615,Exhibition designer,0.2934879349087224,0.17581400813640968,0.2872185189844238,0.24347953797044405,35-44,Metro+ (500k+),0
503886119844,6319.63,702.1811111111111,9,389.2235310025732,5,7879.0,70.0,1.0,"Nurse, children's",0.7725483928647722,0.12828282668447363,0.09916878045075425,0.0,65+,Very Small (<20k),2
560881134780,36423.63,71.13990234375,512,118.53215336688542,14,136.0,66.14453125,0.017578125,Soil scientist,0.21333074160922458,0.23150795239244418,0.38925746829736635,0.165903837700965,65+,Very Small (<20k),1
561942763351,139910.23,89.51390275111964,1563,129.2899152303741,14,601723.0,33.1062060140755,0.006397952655150352,Prison officer,0.31045256662075393,0.18905851273348637,0.32207459025690977,0.17841433038885007,25-34,Metro+ (500k+),0
565399283797,53662.05,102.99817658349329,521,125.1944981923339,14,641.0,25.426103646833013,0.02111324376199616,Economist,0.4772143442153253,0.12415906585752873,0.2008050381973853,0.1978215517297606,25-34,Very Small (<20k),1
567868110212,213039.8,83.28373729476152,2558,114.86055394652433,14,2906700.0,34.3635652853792,0.0011727912431587178,"Copywriter, advertising",0.3127576161825162,0.1523000397108897,0.36017133887658553,0.17477100523000869,25-34,Metro+ (500k+),0
568279015842,97101.83,90.7493738317757,1070,82.74900711072902,14,291.0,27.927102803738318,0.008411214953271028,Television floor manager,0.4210259477087095,0.12132479892500482,0.2329327881874111,0.22471646517887459,25-34,Very Small (<20k),1
570273151375,29003.12,56.98058939096267,509,72.37512205561607,14,112.0,54.26129666011788,0.0,"Lecturer, higher education",0.18509525871699323,0.13022254157483748,0.39151718849558254,0.2931650112125868,45-54,Very Small (<20k),1
571314334723,32200.93,63.139078431372546,510,139.36710934761956,14,2379.0,48.258823529411764,0.027450980392156862,"Sales professional, IT",0.2464236281374482,0.2519234692911043,0.32501079937753347,0.17664210319391396,45-54,Very Small (<20k),1
571365235126,191918.03,61.45309958373359,3123,143.16261021625758,14,372.0,23.691962856227985,0.003202049311559398,"Exhibitions officer, museum/gallery",0.26370763601523006,0.1612572304957486,0.38055486501190117,0.19448026847712013,<25,Very Small (<20k),0
571465035400,184945.6,92.05853658536586,2009,90.28134443690702,14,1645.0,43.177202588352415,0.005973120955699353,Freight forwarder,0.45277286942755063,0.11506442975664195,0.22009731510238686,0.21206538571342057,35-44,Very Small (<20k),0
571844099986,99329.33,64.41590791180286,1542,107.4778897325494,14,736284.0,67.08236057068741,0.0,Engineering geologist,0.20192867504492382,0.216926158668341,0.3269971719330031,0.2541479943537322,65+,Metro+ (500k+),1
573283817795,32073.66,60.175722326454036,533,101.15246857199513,14,5457.0,69.05440900562851,0.0,"Surveyor, hydrographic",0.27438246835565383,0.1781474268917236,0.31099880712085864,0.23647129763176386,65+,Very Small (<20k),1
573860193545,123801.12,59.17835564053537,2092,150.55688872478905,14,27020.0,32.623326959847034,0.005258126195028681,Trade mark attorney,0.3126838432479448,0.17249755091068644,0.2969989286042001,0.21781967723716877,25-34,Small (20k-50k),0
577588686219,104313.8,69.82182061579653,1494,67.49926143649888,14,972.0,21.512717536813923,0.0,Public relations account executive,0.34542323259242785,0.32993918350208695,0.2127575641957248,0.11188001970976034,<25,Very Small (<20k),1
577891228931,8789.74,732.4783333333334,12,405.85171888787465,5,16955.0,57.0,1.0,"Engineer, site",0.8183006550819478,0.08737459811097939,0.0943247468070728,0.0,55-64,Very Small (<20k),2
